M,Triton (TFLOP/s),Torch (TFLOP/s),Torch Compiled (TFLOP/s)
1024.000000,25.327922,26.613604,26.346130
1536.000000,26.810182,36.296861,39.852971
2048.000000,24.528094,32.066546,32.164907
2560.000000,24.218772,36.207734,36.247787
3072.000000,24.148373,31.860851,32.208820
3584.000000,24.711535,34.678877,34.678877
4096.000000,25.381567,32.301148,32.313590
4608.000000,25.844284,36.272061,36.284457
5120.000000,24.947088,33.982888,33.982888
5632.000000,24.780801,32.360156,32.366759
6144.000000,25.509349,35.187115,35.187115
6656.000000,25.730246,33.575093,33.572550
7168.000000,24.038656,34.819887,34.580848
7680.000000,25.184628,31.680308,34.524934
